Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-08-08,51.32%,+5.14%,4.82%,6%,0.23670908821025,158300,0.51479395998594,1546591,22.27,128001,30299,1020991,525600
2025-08-07,46.18%,-1.60%,0.00%,0%,0.20296360652573,99692,0.51918598021962,1532213,22.65,82872,16820,1008575,523638
2025-08-06,47.78%,+1.55%,1.46%,2%,0.20322834553165,102420,0.52931149349642,1508129,22.81,85121,17299,986149,521980
2025-08-05,46.23%,-2.06%,0.00%,0%,0.17333025951785,106881,0.54214748759144,1482050,22.81,91092,15789,961030,521020
2025-08-04,48.29%,-0.84%,1.56%,2%,0.13976922810781,131771,0.55820694479184,1439068,22.63,115612,16159,923541,515527
2025-08-01,49.13%,+0.10%,2.36%,2%,0.28834159693088,229701,0.5240622405141,1561955,22.1,178292,51409,1024863,537092
2025-07-31,49.03%,+1.56%,2.26%,2%,0.37494481321694,177515,0.51276738515245,1514973,22.45,129107,48408,1001458,513515
2025-07-30,47.47%,-4.14%,0.79%,1%,0.27810363418767,107863,0.51723940341514,1482792,22.45,84393,23470,977296,505496
2025-07-29,51.62%,+4.46%,4.70%,4%,0.23693281876428,132050,0.52281508768715,1446018,22.55,106756,25294,949569,496449
2025-07-28,47.16%,-3.70%,0.49%,1%,0.2245697544138,175967,0.52893435212331,1393483,22.98,143697,32270,911408,482075
2025-07-25,50.86%,-1.71%,3.98%,2%,0.23734854331771,197195,0.4675575432387,1557375,23.33,159369,37826,1061202,496173
2025-07-24,52.56%,-4.69%,5.59%,3%,0.23003811901228,145853,0.46507219750745,1532697,23.53,118576,27277,1046158,486539
2025-07-23,57.25%,+1.49%,10.02%,8%,0.15466160626534,186800,0.47301874746296,1495061,23.96,161779,25021,1014964,480097
2025-07-22,55.77%,+4.06%,8.61%,5%,0.12486577231961,223125,0.48442176842932,1452097,24.26,198357,24768,978224,473873
2025-07-21,51.71%,+5.07%,4.78%,3%,0.098757868172104,451929,0.53324089598478,1321416,24.2,411309,40620,861845,459571
2025-07-18,46.63%,-1.71%,0.00%,0%,0.21319737271061,227005,0.46829404586667,1644852,23.28,187113,39892,1120247,524605
2025-07-17,48.35%,-1.66%,1.43%,0%,0.16093581005059,159934,0.48221669357974,1612757,23.4,137763,22171,1088071,524686
2025-07-16,50.01%,+3.17%,3.00%,0%,0.13493714389075,163137,0.49681692043584,1575545,23.68,143741,19396,1052597,522948
2025-07-15,46.83%,-3.44%,0.00%,0%,0.20956255483116,140631,0.50509200521537,1543368,23.22,116266,24365,1025431,517937
2025-07-14,50.27%,-0.61%,0.00%,0%,0.2473593473035,154110,0.5138453956175,1492809,23.7,123549,30561,986104,506705
2025-07-11,50.88%,+0.20%,0.20%,0%,0.21853517717985,334310,0.48665581600636,1606678,23.33,274354,59956,1080733,525945
2025-07-10,50.68%,-2.20%,0.00%,0%,0.19089204530861,139095,0.49849313274665,1579175,23.1,116799,22296,1053842,525333
2025-07-09,52.88%,-1.35%,0.00%,0%,0.1634500364363,253852,0.51582231836253,1522019,23.19,218189,35663,1004088,517931
2025-07-08,54.23%,-1.91%,0.00%,0%,0.18394193694715,167040,0.52090819794152,1495725,22.75,141088,25952,983442,512283
2025-07-07,56.15%,+1.79%,1.82%,2%,0.31212862635442,213978,0.53348934660291,1452104,22.62,163077,50901,946928,505176
